Portaria,Grupo,Classe,Ordem,Familia,Espécie,Nome,Categoria
444,Anfíbios,Amphibia,Anura,Aromobatidae,"Allobates brunneus (Cope, 1887)",Desconhecido,CR
444,Anfíbios,Amphibia,Anura,Aromobatidae,"Allobates goianus (Bokermann, 1975)",Desconhecido,EN
444,Anfíbios,Amphibia,Anura,Aromobatidae,"Allobates olfersioides (A. Lutz, 1925)",Desconhecido,VU
444,Anfíbios,Amphibia,Anura,Brachycephalidae,"Brachycephalus pernix Pombal, Wistuba & Bornschein, 1998",Desconhecido,CR
444,Anfíbios,Amphibia,Anura,Brachycephalidae,"Ischnocnema manezinho (Garcia, 1996)",Rãzinha-do-folhiço-da-ilha,VU
444,Anfíbios,Amphibia,Anura,Bufonidae,"Melanophryniscus admirabilis Di Bernardo, Maneyro & Grillo, 2006",Desconhecido,CR
444,Anfíbios,Amphibia,Anura,Bufonidae,"Melanophryniscus cambaraensis Braun & Braun, 1979",Sapinho-verde-de-barriga-vermelha,VU
444,Anfíbios,Amphibia,Anura,Bufonidae,"Melanophryniscus dorsalis (Mertens, 1933)","Flamenguinho, Sapinho-da-barriga-vermelha",VU
444,Anfíbios,Amphibia,Anura,Bufonidae,"Melanophryniscus macrogranulosus Braun, 1973",Desconhecido,EN
444,Anfíbios,Amphibia,Anura,Bufonidae,"Melanophryniscus setiba Peloso, Faivovich, Grant, Gasparini & Haddad, 2012",Sapinho-da-restinga,CR
444,Anfíbios,Amphibia,Anura,Craugastoridae,"Holoaden bradei B. Lutz, 1958",Rãzinha-verrugosa-da-serra-de-brade,CR
444,Anfíbios,Amphibia,Anura,Craugastoridae,"Holoaden luederwaldti Miranda-Ribeiro, 1920",Desconhecido,EN
444,Anfíbios,Amphibia,Anura,Cycloramphidae,"Cycloramphus diringshofeni Bokermann, 1957",Desconhecido,CR
444,Anfíbios,Amphibia,Anura,Cycloramphidae,"Cycloramphus faustoi Brasileiro, Haddad, Sawaya & Sazima, 2007",Desconhecido,CR
444,Anfíbios,Amphibia,Anura,Cycloramphidae,"Cycloramphus ohausi (Wandolleck, 1907)",Desconhecido,EN
444,Anfíbios,Amphibia,Anura,Cycloramphidae,"Thoropa petropolitana (Wandolleck, 1907)",Desconhecido,EN
444,Anfíbios,Amphibia,Anura,Cycloramphidae,"Thoropa saxatilis Crocoft & Heyer, 1988",Desconhecido,VU
444,Anfíbios,Amphibia,Anura,Eleutherodactylidae,"Adelophryne maranguapensis Hoogmoed, Borges, & Cascon, 1994",Desconhecido,VU
444,Anfíbios,Amphibia,Anura,Hylidae,"Agalychnis granulosa (Cruz, 1989)",Desconhecido,VU
444,Anfíbios,Amphibia,Anura,Hylidae,"Aparasphenodon pomba Assis, Santana, Silva, Quintela & Feio, 2013",Perereca,CR
444,Anfíbios,Amphibia,Anura,Hylidae,"Bokermannohyla vulcaniae (Vasconcelos & Giaretta, 2005)",Desconhecido,CR
444,Anfíbios,Amphibia,Anura,Hylidae,"Hypsiboas curupi Garcia, Faivovichi & Haddad, 2007",Desconhecido,VU
444,Anfíbios,Amphibia,Anura,Hylidae,"Hypsiboas cymbalum (Bokerman, 1963)",Desconhecido,CR
444,Anfíbios,Amphibia,Anura,Hylidae,"Hypsiboas semiguttatus (A. Lutz, 1925)",Desconhecido,EN
444,Anfíbios,Amphibia,Anura,Hylidae,"Phyllodytes gyrinaethes Peixoto, Caramaschi & Freire, 2003",Desconhecido,CR
444,Anfíbios,Amphibia,Anura,Hylidae,"Scinax alcatraz (B. Lutz, 1973)",Perereca-de-Alcatraz,CR
444,Anfíbios,Amphibia,Anura,Hylidae,"Scinax duartei (B. Lutz, 1951)",Desconhecido,VU
444,Anfíbios,Amphibia,Anura,Hylidae,"Scinax faivovichi Brasileiro, Oyamaguchi & Haddad, 2007",Desconhecido,VU
444,Anfíbios,Amphibia,Anura,Hylidae,"Scinax peixotoi Brasileiro, Haddad, Sawaya & Martins, 2007",Desconhecido,CR
444,Anfíbios,Amphibia,Anura,Hylidae,"Xenohyla truncata (Izecksohn, 1959)",Perereca-frugívora,EN
444,Anfíbios,Amphibia,Anura,Hylodidae,"Crossodactylus dantei Carcerelli & Caramaschi, 1993",Desconhecido,EN
444,Anfíbios,Amphibia,Anura,Hylodidae,"Crossodactylus lutzorum Carcerelli & Caramaschi, 1993",Desconhecido,CR
