Familia,Especie,Categoria,IN608
ACANTHACEAE,Aphelandra espirito-santensis,EN,não
ACANTHACEAE,Aphelandra margaritae,VU,não
ACANTHACEAE,Aphelandra maximiliana,EN,não
ACANTHACEAE,Dyschoriste lavandulacea,EN,não
ACANTHACEAE,Dyschoriste smithii,CR,não
ACANTHACEAE,Justicia clausseniana,EN,não
ACANTHACEAE,Justicia genuflexa,VU,não
ACANTHACEAE,Justicia paranaensis,EN,não
ACANTHACEAE,Justicia polita,EN,não
ACANTHACEAE,Justicia ramulosa,VU,não
ACANTHACEAE,Justicia tijucensis,VU,não
ACANTHACEAE,Odontonema dissitiflorum,EN,não
ACANTHACEAE,Staurogyne brachiata,EN,sim
ACANTHACEAE,Staurogyne carvalhoi,VU,não
ACANTHACEAE,Staurogyne elegans,VU,não
ACANTHACEAE,Staurogyne itatiaiae,EN,não
ACANTHACEAE,Staurogyne vauthieriana,EN,não
ACANTHACEAE,Staurogyne veronicifolia,EN,sim
ACANTHACEAE,Staurogyne warmingiana,EN,sim
ACANTHACEAE,Stenandrium hatschbachii,EN,não
ACANTHACEAE,Stenandrium stenophyllum,EN,sim
ACANTHACEAE,Streblacanthus dubiosus,EN,não
ALISMATACEAE,Sagittaria lancifolia,VU,não
ALSTROEMERIACEAE,Alstroemeria amabilis,EN,não
ALSTROEMERIACEAE,Alstroemeria brasiliensis,EN,não
ALSTROEMERIACEAE,Alstroemeria capixaba,CR,sim
ALSTROEMERIACEAE,Alstroemeria caryophyllaea,EN,não
ALSTROEMERIACEAE,Alstroemeria malmeana,CR,não
ALSTROEMERIACEAE,Alstroemeria orchidioides,EN,não
ALSTROEMERIACEAE,Alstroemeria penduliflora,EN,não
AMARANTHACEAE,Alternanthera decurrens,EN,não
AMARANTHACEAE,Alternanthera hirtula,VU,não
AMARANTHACEAE,Alternanthera januarensis,EN,não
AMARANTHACEAE,Amaranthus rosengurtii,EN,não
AMARANTHACEAE,Froelichiella grisea,EN,não
AMARANTHACEAE,Gomphrena centrota,EN,não
AMARANTHACEAE,Gomphrena hatschbachiana,EN,sim
AMARANTHACEAE,Gomphrena nigricans,CR,não
AMARANTHACEAE,Gomphrena paranensis,VU,não
AMARANTHACEAE,Gomphrena pulchella,EN,não
AMARANTHACEAE,Gomphrena regeliana,VU,não
AMARANTHACEAE,Pfaffia argyrea,EN,sim
AMARANTHACEAE,Pfaffia minarum,VU,sim
AMARANTHACEAE,Quaternella glabratoides,EN,não
AMARYLLIDACEAE,Eithea blumenavia,EN,não
AMARYLLIDACEAE,Griffinia aracensis,CR,não
AMARYLLIDACEAE,Griffinia colatinensis,CR,não
AMARYLLIDACEAE,Griffinia espiritensis,EN,não
AMARYLLIDACEAE,Griffinia gardneriana,EN,não
AMARYLLIDACEAE,Griffinia hyacinthina,EN,não
AMARYLLIDACEAE,Griffinia liboniana,EN,sim
AMARYLLIDACEAE,Griffinia nocturna,CR,não
AMARYLLIDACEAE,Griffinia parviflora,CR,não
AMARYLLIDACEAE,Griffinia paubrasilica,CR,não
AMARYLLIDACEAE,Habranthus coeruleus,VU,não
AMARYLLIDACEAE,Habranthus irwinianus,VU,não
AMARYLLIDACEAE,Hippeastrum angustifolium,VU,não
AMARYLLIDACEAE,Hippeastrum brasilianum,EN,sim
AMARYLLIDACEAE,Hippeastrum breviflorum,EN,não
AMARYLLIDACEAE,Hippeastrum goianum,EN,não
AMARYLLIDACEAE,Hippeastrum leucobasis,CR,não
AMARYLLIDACEAE,Hippeastrum morelianum,VU,não
AMARYLLIDACEAE,Hippeastrum papilio,CR,não
AMARYLLIDACEAE,Hippeastrum psittacinum,EN,não
AMARYLLIDACEAE,Hippeastrum reginae,EN,não
AMARYLLIDACEAE,Hippeastrum santacatarina,EN,não
AMARYLLIDACEAE,Hippeastrum striatum,EN,não
AMARYLLIDACEAE,Hippeastrum vittatum,EN,não
AMARYLLIDACEAE,Worsleya procera,EN,sim
AMARYLLIDACEAE,Zephyranthes brasiliensis,VU,não
AMARYLLIDACEAE,Zephyranthes candida,EN,não
AMARYLLIDACEAE,Zephyranthes capivarina,VU,não
AMARYLLIDACEAE,Zephyranthes paranaensis,EN,não
ANACARDIACEAE,Myracrodruon balansae,EN,não
ANACARDIACEAE,Schinopsis balansae,EN,não
ANEMIACEAE,Anemia blechnoides,VU,não
ANEMIACEAE,Anemia dentata,VU,não
ANEMIACEAE,Anemia gardneri,VU,não
ANEMIACEAE,Anemia trichorhiza,VU,não
ANNONACEAE,Annona maritima,VU,não
ANNONACEAE,Annona parviflora,EN,não
ANNONACEAE,Annona pickelii,VU,não
ANNONACEAE,Annona ubatubensis,EN,não
ANNONACEAE,Duguetia magnolioidea,EN,não
ANNONACEAE,Duguetia restingae,CR,não
ANNONACEAE,Duguetia reticulata,EN,não
ANNONACEAE,Duguetia scottmorii,CR,não
ANNONACEAE,Duguetia sooretamae,EN,não
ANNONACEAE,Hornschuchia alba,CR,não
ANNONACEAE,Hornschuchia cauliflora,EN,não
ANNONACEAE,Hornschuchia obliqua,EN,não
ANNONACEAE,Trigynaea axilliflora,CR,não
ANNONACEAE,Trigynaea oblongifolia,EN,não
ANNONACEAE,Unonopsis riedeliana,EN,não
APIACEAE,Eryngium corallinum,CR,não
APIACEAE,Eryngium divaricatum,EN,não
APIACEAE,Eryngium dorae,CR,não
APIACEAE,Eryngium falcifolium,EN,não
APIACEAE,Eryngium koehneanum,VU,não
APIACEAE,Eryngium ombrophilum,EN,não
APIACEAE,Eryngium ramboanum,CR,não
APIACEAE,Eryngium scirpinum,EN,não
APIACEAE,Eryngium smithii,EN,não
APIACEAE,Eryngium urbanianum,EN,não
APIACEAE,Eryngium zosterifolium,VU,não
APIACEAE,Klotzschia rhizophylla,EN,não
APIACEAE,Lilaeopsis brasiliensis,VU,não
APOCYNACEAE,Ditassa arianeae,EN,sim
APOCYNACEAE,Ditassa auriflora,CR,não
APOCYNACEAE,Ditassa cipoensis,EN,não
APOCYNACEAE,Ditassa cordeiroana,EN,não
